domain,url,status,title,h1,h2_headings,file_status,topic_cluster,cluster_score,interim_triage,redirect_to_url
nakanodent.com,https://nakanodent.com/,200,岡山の歯医者｜岡山なかの歯科・矯正歯科クリニック,岡山の歯医者 岡山なかの歯科矯正歯科クリニック,"体制強化中, 初診の流れ Flow, 明細書の無料発行について, レントゲン撮影, 院長挨拶 Greeting, 医院からのお知らせ Notice",正常,C44_指名検索化・ブランディング,0.3384,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-ndc/efforts/medical-dx/,200,医療DX体制・明細書発行｜岡山なかの歯科・矯正歯科クリニック,医療DX推進体制について@@ 医療DX体制・明細書発行｜岡山なかの歯科・矯正歯科クリニック,,正常,C41_カウンセリング・初診・無料相談,0.2469,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-ndc/c-staff/column/,200,院長コラム 歯科知識・最新治療・想い 岡山なかの歯科・矯正歯科クリニック,院長コラム お口の健康に関するお役立ち情報,"院長ブログ記事, 世界にひとつだけの花「USP」, シカの壁",正常,C19_ホワイトニング・基礎と方式,0.4696,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-special/case/,200,治療症例集 矯正・インプラント・審美 岡山なかの歯科・矯正歯科クリニック,治療症例集・ビフォーアフター,"歯周病治療症例, 予防歯科症例, インプラント治療症例, 矯正歯科症例, 歯のホワイトニング症例",正常,C28_歯周病治療と再生療法,0.5053,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-ndc/director/media/,200,岡山なかの歯科・矯正歯科クリニック メディア実績,岡山なかの歯科・矯正歯科クリニック メディア実績@@ 岡山なかの歯科・矯正歯科クリニック メディア実績,"最新情報, 新聞に掲載されました, 院長のレギュラー番組, 院長の著作, 当院が紹介された書籍, 当院が紹介された書籍（掲載情報）, 講演・取材依頼, 講演実績",正常,C44_指名検索化・ブランディング,0.2869,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-ndc/director/participation/,200,セミナー・イベント参加経歴 院長研鑽・学会報告 岡山なかの歯科・矯正歯科クリニック,セミナー・イベント参加経歴 日々の研鑽の記録,"歯科院長のセミナー・イベント参加経歴, 2026年 参加経歴, 2025年 参加経歴, 2024年 参加経歴, 2023年 参加経歴, 2022年 参加経歴, 2021年 参加経歴, 2020年 参加経歴, 2019年 参加経歴, 2018年 参加経歴, 2017年 参加経歴, 2016年 参加経歴, 2015年 参加経歴, 2014年 参加経歴, 2013年 参加経歴, 2012年 参加経歴",正常,C10_インプラント・リスクと医院選び,0.3973,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8955/,200,歯科医院向けAI研修に参加してきました！～AIに業務を任せ、その先の共創する時代へ～ 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック @@,"AIは歯科医院をどう変えるのか？, 私自身もAIを活用しています, AI診断は歯科医療を変える, AI時代だからこそ人間力が重要になる, なかの歯科・矯正歯科クリニックの未来, 学び続ける歯科医院でありたい",正常,C34_院長・医師プロフィール,0.4035,維持・部分更新,
nakanodent.com,https://nakanodent.com/blog/archives/8947/,200,歯周外科の剥離、切開、縫合 岡山なかの歯科・矯正歯科クリニック,岡山なかの歯科・矯正歯科クリニック,,正常,C28_歯周病治療と再生療法,0.4743,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treat/sleep/,200,いびき治療 岡山なかの歯科・矯正歯科クリニック,いびき・歯ぎしり治療と睡眠時無呼吸への対策@@ いびき治療 岡山なかの歯科・矯正歯科クリニック,"いびき治療 Treatment for snoring, Contents 01 いびき（呼吸障害）とは, Contents 02 いびき（呼吸障害）治療",正常,,0.0,統合（正規化）,https://nakanodent.com/c-treatment/sleep/
nakanodent.com,https://nakanodent.com/c-treatment/painless/,200,痛みを抑えた歯科治療 できるだけ削らない治療・痛くない麻酔 岡山なかの歯科・矯正歯科クリニック,痛みを抑えた負担の少ない歯科治療@@ 痛みを抑えた歯科治療 できるだけ削らない治療・痛くない麻酔 岡山なかの歯科・矯正歯科クリニック,"歯科治療の痛みが心配な方へ 痛みを抑えた歯科治療 Manage the pain, 痛みを抑えた治療法の種類, 当院の痛みを抑えた歯科治療, 嘔吐反射でお困りの方",正常,C27_一般歯科・虫歯と痛み,0.4719,維持・部分更新,
nakanodent.com,https://nakanodent.com/c-treatment/general/c-cavity-no/,200,できるだけ削らない虫歯治療 低侵襲治療 岡山なかの歯科・矯正歯科クリニック,できるだけ削らない低侵襲な虫歯治療への取り組み@@ できるだけ削らない虫歯治療 低侵襲治療 岡山なかの歯科・矯正歯科クリニック,できるだけ削らない 痛みに配慮した虫歯治療 Painless tooth,正常,C27_一般歯科・虫歯と痛み,0.5476,維持・部分更新,
