video_id,title,url,upload_date,status,lang_used,char_count,file
hha_vVDPxhk,インプラントで失敗する人の共通点について岡山の歯科医師が解説します,https://www.youtube.com/watch?v=hha_vVDPxhk,,スキップ(保存済み),,11163,インプラントで失敗する人の共通点について岡山の歯科医師が解説します.txt
URGMquiHofg,歯周病の恐ろしい５つのサイン　その症状手遅れ寸前？知らないと歯を失います,https://www.youtube.com/watch?v=URGMquiHofg,,スキップ(保存済み),,6734,歯周病の恐ろしい５つのサイン　その症状手遅れ寸前？知らないと歯を失います.txt
BMPeiaf5Rx8,お口の健康を守るため定期検診を続けましょう　岡山の歯科医師が日々の歯磨きと歯科医院での定期検診の大切さをお話します,https://www.youtube.com/watch?v=BMPeiaf5Rx8,,スキップ(保存済み),,5985,お口の健康を守るため定期検診を続けましょう　岡山の歯科医師が日々の歯磨きと歯科医院での定期検診の大切さをお話します.txt
sEetl2U6gD4,歯医者が突然消える！夜逃げ・廃業　歯科トラブルの真相　あなたの歯科医院は大丈夫ですか？,https://www.youtube.com/watch?v=sEetl2U6gD4,,スキップ(保存済み),,17464,歯医者が突然消える！夜逃げ・廃業　歯科トラブルの真相　あなたの歯科医院は大丈夫ですか？.txt
ulsXTMtqdjo,【５０代・６０代のあなたへ】こんな歯医者に通うと絶対後悔します,https://www.youtube.com/watch?v=ulsXTMtqdjo,,スキップ(保存済み),,13387,【５０代・６０代のあなたへ】こんな歯医者に通うと絶対後悔します.txt
Oo5lQ9sT6lQ,２０２６年６月から歯医者の予約をキャンセルするとお金がかかる？岡山の歯科医師がキャンセル料について解説します,https://www.youtube.com/watch?v=Oo5lQ9sT6lQ,,スキップ(保存済み),,11666,２０２６年６月から歯医者の予約をキャンセルするとお金がかかる？岡山の歯科医師がキャンセル料について解説します.txt
nrVNkp9Bxms,歯医者が絶対言わない真実　10年後歯医者は消える？　AIとロボットが変える歯科医療の未来について解説します,https://www.youtube.com/watch?v=nrVNkp9Bxms,,スキップ(保存済み),,12309,歯医者が絶対言わない真実　10年後歯医者は消える？　AIとロボットが変える歯科医療の未来について解説します.txt
hJVUKnLokXU,【インプラント】わかりやすくまんがで紹介します,https://www.youtube.com/watch?v=hJVUKnLokXU,,スキップ(保存済み),,12440,【インプラント】わかりやすくまんがで紹介します.txt
fDPj4D6arYg,歯医者が絶対言わない真実　入れ歯の真実　誰も教えてくれなかった入れ歯の「本当の問題」について解説します,https://www.youtube.com/watch?v=fDPj4D6arYg,,スキップ(保存済み),,9133,歯医者が絶対言わない真実　入れ歯の真実　誰も教えてくれなかった入れ歯の「本当の問題」について解説します.txt
TTqw7o_YulQ,歯医者が絶対言わない真実　歯医者が絶対食べない食べ物BEST5　あなたが毎日食べているあれが歯を蝕んでいます,https://www.youtube.com/watch?v=TTqw7o_YulQ,,スキップ(保存済み),,11028,歯医者が絶対言わない真実　歯医者が絶対食べない食べ物BEST5　あなたが毎日食べているあれが歯を蝕んでいます.txt
5xot6YzOdlQ,歯医者が絶対言わない真実　歯周病の恐怖　歯が抜けるだけじゃない　 命に関わる病気,https://www.youtube.com/watch?v=5xot6YzOdlQ,,スキップ(保存済み),,10834,歯医者が絶対言わない真実　歯周病の恐怖　歯が抜けるだけじゃない　 命に関わる病気.txt
